date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Feb 26, 2018|7:30p|Memphis Grizzlies|98|Boston Celtics|109|Box Score||18,624|
Mon, Feb 26, 2018|7:30p|Chicago Bulls|87|Brooklyn Nets|104|Box Score||15,081|
Mon, Feb 26, 2018|7:30p|Golden State Warriors|125|New York Knicks|111|Box Score||19,812|
Mon, Feb 26, 2018|7:30p|Detroit Pistons|94|Toronto Raptors|123|Box Score||19,800|
Mon, Feb 26, 2018|8:00p|Phoenix Suns|116|New Orleans Pelicans|125|Box Score||14,302|
Mon, Feb 26, 2018|8:00p|Orlando Magic|105|Oklahoma City Thunder|112|Box Score||18,203|
Mon, Feb 26, 2018|8:30p|Indiana Pacers|103|Dallas Mavericks|109|Box Score||19,536|
Mon, Feb 26, 2018|9:00p|Houston Rockets|96|Utah Jazz|85|Box Score||18,306|
Mon, Feb 26, 2018|10:00p|Minnesota Timberwolves|118|Sacramento Kings|100|Box Score||17,583|
Tue, Feb 27, 2018|7:00p|Chicago Bulls|103|Charlotte Hornets|118|Box Score||14,521|
Tue, Feb 27, 2018|7:00p|Brooklyn Nets|123|Cleveland Cavaliers|129|Box Score||20,562|
Tue, Feb 27, 2018|7:30p|Philadelphia 76ers|101|Miami Heat|102|Box Score||19,600|
Tue, Feb 27, 2018|8:00p|Washington Wizards|107|Milwaukee Bucks|104|Box Score||16,093|
Tue, Feb 27, 2018|10:00p|Sacramento Kings|99|Portland Trail Blazers|116|Box Score||19,468|
Tue, Feb 27, 2018|10:30p|Los Angeles Clippers|122|Denver Nuggets|120|Box Score||15,004|
Wed, Feb 28, 2018|7:00p|Milwaukee Bucks|87|Detroit Pistons|110|Box Score||16,146|
Wed, Feb 28, 2018|7:00p|Toronto Raptors|117|Orlando Magic|104|Box Score||17,328|
Wed, Feb 28, 2018|7:30p|Indiana Pacers|102|Atlanta Hawks|107|Box Score||13,316|
Wed, Feb 28, 2018|7:30p|Charlotte Hornets|106|Boston Celtics|134|Box Score||18,624|
Wed, Feb 28, 2018|8:00p|Phoenix Suns|110|Memphis Grizzlies|102|Box Score||13,484|
Wed, Feb 28, 2018|8:00p|Golden State Warriors|109|Washington Wizards|101|Box Score||20,356|
Wed, Feb 28, 2018|8:30p|Oklahoma City Thunder|111|Dallas Mavericks|110|Box Score|OT|20,202|
Wed, Feb 28, 2018|8:30p|New Orleans Pelicans|121|San Antonio Spurs|116|Box Score||18,418|
Wed, Feb 28, 2018|10:30p|Houston Rockets|105|Los Angeles Clippers|92|Box Score||19,068|
