date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Wed, Apr 20, 2005|7:30p|Washington Wizards|105|New York Knicks|113|Box Score|19,763|
Wed, Apr 20, 2005|8:00p|Chicago Bulls|83|Indiana Pacers|85|Box Score|18,345|
Wed, Apr 20, 2005|8:00p|Dallas Mavericks|108|Memphis Grizzlies|88|Box Score|16,512|
Wed, Apr 20, 2005|8:00p|San Antonio Spurs|73|Minnesota Timberwolves|95|Box Score|18,122|
Wed, Apr 20, 2005|8:00p|Los Angeles Clippers|86|New Orleans Hornets|75|Box Score|15,982|
Wed, Apr 20, 2005|8:30p|Seattle SuperSonics|78|Houston Rockets|106|Box Score|18,194|
Wed, Apr 20, 2005|10:00p|Los Angeles Lakers|103|Portland Trail Blazers|106|Box Score|19,818|
Wed, Apr 20, 2005|10:30p|Utah Jazz|89|Golden State Warriors|106|Box Score|16,804|
Wed, Apr 20, 2005|10:30p|Phoenix Suns|107|Sacramento Kings|132|Box Score|17,317|
Playoffs||||||||
Sat, Apr 23, 2005|3:00p|Philadelphia 76ers|85|Detroit Pistons|106|Box Score|22,076|
Sat, Apr 23, 2005|5:30p|Houston Rockets|98|Dallas Mavericks|86|Box Score|20,768|
Sat, Apr 23, 2005|8:00p|Indiana Pacers|82|Boston Celtics|102|Box Score|18,624|
Sat, Apr 23, 2005|10:30p|Sacramento Kings|82|Seattle SuperSonics|87|Box Score|17,072|
Sun, Apr 24, 2005|3:00p|New Jersey Nets|98|Miami Heat|116|Box Score|20,212|
Sun, Apr 24, 2005|5:30p|Washington Wizards|94|Chicago Bulls|103|Box Score|22,655|
Sun, Apr 24, 2005|8:00p|Denver Nuggets|93|San Antonio Spurs|87|Box Score|18,797|
Sun, Apr 24, 2005|10:30p|Memphis Grizzlies|103|Phoenix Suns|114|Box Score|18,422|
Mon, Apr 25, 2005|7:00p|Indiana Pacers|82|Boston Celtics|79|Box Score|18,624|
Mon, Apr 25, 2005|9:30p|Houston Rockets|113|Dallas Mavericks|111|Box Score|20,884|
Tue, Apr 26, 2005|7:30p|Philadelphia 76ers|84|Detroit Pistons|99|Box Score|22,076|
Tue, Apr 26, 2005|8:00p|New Jersey Nets|87|Miami Heat|104|Box Score|20,276|
Tue, Apr 26, 2005|10:30p|Sacramento Kings|93|Seattle SuperSonics|105|Box Score|17,072|
Wed, Apr 27, 2005|8:00p|Denver Nuggets|76|San Antonio Spurs|104|Box Score|18,797|
Wed, Apr 27, 2005|8:30p|Washington Wizards|103|Chicago Bulls|113|Box Score|22,605|
Wed, Apr 27, 2005|10:30p|Memphis Grizzlies|103|Phoenix Suns|108|Box Score|18,422|
Thu, Apr 28, 2005|7:00p|Miami Heat|108|New Jersey Nets|105|Box Score|2OT|20,174
Thu, Apr 28, 2005|8:30p|Boston Celtics|76|Indiana Pacers|99|Box Score|18,345|
Thu, Apr 28, 2005|9:30p|Dallas Mavericks|106|Houston Rockets|102|Box Score|18,199|
Fri, Apr 29, 2005|8:00p|Detroit Pistons|104|Philadelphia 76ers|115|Box Score|16,907|
Fri, Apr 29, 2005|9:00p|Phoenix Suns|110|Memphis Grizzlies|90|Box Score|18,119|
Fri, Apr 29, 2005|10:30p|Seattle SuperSonics|104|Sacramento Kings|116|Box Score|17,317|
Sat, Apr 30, 2005|3:00p|Chicago Bulls|99|Washington Wizards|117|Box Score|20,173|
Sat, Apr 30, 2005|5:30p|Dallas Mavericks|97|Houston Rockets|93|Box Score|18,211|
Sat, Apr 30, 2005|8:00p|Boston Celtics|110|Indiana Pacers|79|Box Score|18,345|
Sat, Apr 30, 2005|10:30p|San Antonio Spurs|86|Denver Nuggets|78|Box Score|19,913|
