date|rank|team|current_value|1_yr_value_change|debt_value|revenue_M|operating_income_M
2019|#3 |Golden State Warriors|$3.5 B|13%|23%|$401 M|$103 M
2019|#4 |Chicago Bulls|$2.9 B|12%|3%|$287 M|$114 M
2019|#5 |Boston Celtics|$2.8 B|12%|6%|$287 M|$100 M
2019|#6 |Brooklyn Nets|$2.35 B|2%|9%|$290 M|$53 M
2019|#7 |Houston Rockets|$2.3 B|5%|8%|$326 M|$103 M
2019|#8 |Dallas Mavericks|$2.25 B|18%|10%|$287 M|$99 M
2019|#9 |Los Angeles Clippers|$2.2 B|2%|0%|$258 M|$40 M
2019|#10 |Miami Heat|$1.75 B|3%|23%|$259 M|$40 M
2019|||||||
2019|#11 |Toronto Raptors|$1.675 B|20%|7%|$275 M|$76 M
2019|#12 |Philadelphia 76ers|$1.65 B|40%|6%|$268 M|$68 M
2019|#13 |San Antonio Spurs|$1.625 B|5%|6%|$262 M|$63 M
2019|#14 |Portland Trail Blazers|$1.6 B|23%|8%|$246 M|$40 M
2019|#15 |Sacramento Kings|$1.575 B|15%|34%|$263 M|$72 M
2019|#16 |Washington Wizards|$1.55 B|15%|8%|$255 M|$34 M
2019|#17 |Phoenix Suns|$1.5 B|17%|12%|$235 M|$47 M
2019|#18 |Oklahoma City Thunder|$1.475 B|18%|9%|$241 M|$10 M
2019|#19 |Utah Jazz|$1.425 B|19%|7%|$243 M|$59 M
2019|#20 |Indiana Pacers|$1.4 B|19%|9%|$222 M|$50 M
2019|||||||
2019|#21 |Denver Nuggets|$1.375 B|22%|0%|$222 M|$47 M
2019|#22 |Milwaukee Bucks|$1.35 B|26%|31%|$204 M|$25 M
2019|#23 |Orlando Magic|$1.325 B|8%|11%|$223 M|$64 M
2019|#24 |Atlanta Hawks|$1.3 B|13%|19%|$215 M|$42 M
2019|#25 |Cleveland Cavaliers|$1.275 B|-4%|16%|$302 M|$-13 M
2019|#26 |Detroit Pistons|$1.27 B|15%|12%|$235 M|$52 M
2019|#27 |Minnesota Timberwolves|$1.26 B|19%|12%|$223 M|$47 M
2019|#28 |Charlotte Hornets|$1.25 B|19%|12%|$213 M|$22 M
2019|#29 |New Orleans Pelicans|$1.22 B|22%|14%|$214 M|$29 M
2019|#30 |Memphis Grizzlies|$1.2 B|17%|27%|$213 M|$27 M
2020|#1 |New York Knicks|$4.6 B|15%|1%|$472 M|$157 M
2020|#2 |Los Angeles Lakers|$4.4 B|19%|0%|$434 M|$178 M
2020|#3 |Golden State Warriors|$4.3 B|23%|18%|$440 M|$109 M
2020|#4 |Chicago Bulls|$3.2 B|10%|3%|$301 M|$103 M
2020|#5 |Boston Celtics|$3.1 B|11%|3%|$304 M|$88 M
2020|#6 |Los Angeles Clippers|$2.6 B|18%|0%|$282 M|$73 M
2020|#7 |Brooklyn Nets|$2.5 B|6%|8%|$304 M|$42 M
2020|#8 |Houston Rockets|$2.475 B|8%|7%|$348 M|$110 M
2020|#9 |Dallas Mavericks|$2.4 B|7%|4%|$307 M|$105 M
2020|#10 |Toronto Raptors|$2.1 B|25%|5%|$334 M|$79 M
2020|||||||
2020|#11 |Philadelphia 76ers|$2 B|21%|5%|$300 M|$90 M
2020|#12 |Miami Heat|$1.95 B|11%|21%|$294 M|$58 M
2020|#13 |Portland Trail Blazers|$1.85 B|16%|7%|$287 M|$51 M
2020|#14 |San Antonio Spurs|$1.8 B|11%|6%|$285 M|$66 M
2020|#15 |Sacramento Kings|$1.775 B|13%|30%|$286 M|$81 M
2020|#16 |Washington Wizards|$1.75 B|13%|8%|$269 M|$55 M
2020|#17 |Phoenix Suns|$1.625 B|8%|11%|$246 M|$42 M
2020|#18 |Denver Nuggets|$1.6 B|16%|0%|$252 M|$52 M
2020|#19 |Milwaukee Bucks|$1.58 B|17%|17%|$283 M|$69 M
2020|#20 |Oklahoma City Thunder|$1.575 B|7%|9%|$258 M|$-23 M
2020|||||||
2020|#21 |Utah Jazz|$1.55 B|9%|6%|$258 M|$63 M
2020|#22 |Indiana Pacers|$1.525 B|9%|13%|$243 M|$55 M
2020|#23 |Atlanta Hawks|$1.52 B|17%|16%|$251 M|$78 M
2020|#24 |Cleveland Cavaliers|$1.51 B|18%|13%|$300 M|$39 M
2020|#25 |Charlotte Hornets|$1.5 B|20%|10%|$240 M|$39 M
2020|#26 |Detroit Pistons|$1.45 B|14%|10%|$255 M|$52 M
2020|#27 |Orlando Magic|$1.43 B|8%|10%|$244 M|$70 M
2020|#28 |Minnesota Timberwolves|$1.375 B|9%|11%|$234 M|$46 M
2020|#29 |New Orleans Pelicans|$1.35 B|11%|13%|$224 M|$49 M
2020|#30 |Memphis Grizzlies|$1.3 B|8%|25%|$224 M|$24 M
